obs;cons;price;gdpc1;dq1;dq2;dq3;dq4;covid;lc;lp;ly;time;lc_1;lc_2;lc_3;ly_1;ly_2;ly_3;ly_4;ly_5;ly_6;lp_1;lp_2
1991Q2;7262,366667;NA;9347,6;0;1;0;0;0;8,890461042;NA;9,142874905;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1991Q3;7421,716667;NA;9394,83;0;0;1;0;0;8,912165666;NA;9,147914817;2;8,890461042;NA;NA;9,142874905;NA;NA;NA;NA;NA;NA;NA
1991Q4;7194,95;NA;9427,58;0;0;0;1;0;8,88113467;NA;9,151394715;3;8,912165666;8,890461042;NA;9,147914817;9,142874905;NA;NA;NA;NA;NA;NA
1992Q1;6940,383333;NA;9540,44;1;0;0;0;0;8,845112287;NA;9,163294885;4;8,88113467;8,912165666;8,890461042;9,151394715;9,147914817;9,142874905;NA;NA;NA;NA;NA
1992Q2;7312,733333;NA;9643,89;0;1;0;0;0;8,8973724;NA;9,174079833;5;8,845112287;8,88113467;8,912165666;9,163294885;9,151394715;9,147914817;9,142874905;NA;NA;NA;NA
1992Q3;7530,55;NA;9739,18;0;0;1;0;0;8,926723359;NA;9,183912204;6;8,8973724;8,845112287;8,88113467;9,174079833;9,163294885;9,151394715;9,147914817;9,142874905;NA;NA;NA
1992Q4;7297,983333;NA;9840,75;0;0;0;1;0;8,895353333;NA;9,194287207;7;8,926723359;8,8973724;8,845112287;9,183912204;9,174079833;9,163294885;9,151394715;9,147914817;9,142874905;NA;NA
1993Q1;7070,333333;NA;9857,18;1;0;0;0;0;8,863662905;NA;9,195955403;8;8,895353333;8,926723359;8,8973724;9,194287207;9,183912204;9,174079833;9,163294885;9,151394715;9,147914817;NA;NA
1993Q2;7405,516667;1,091666667;9914,57;0;1;0;0;0;8,909980497;0,08770558;9,201760671;9;8,863662905;8,895353333;8,926723359;9,195955403;9,194287207;9,183912204;9,174079833;9,163294885;9,151394715;NA;NA
1993Q3;7726,4;1,063333333;9961,87;0;0;1;0;0;8,952398315;0,061408628;9,206520084;10;8,909980497;8,863662905;8,895353333;9,201760671;9,195955403;9,194287207;9,183912204;9,174079833;9,163294885;0,08770558;NA
1993Q4;7564,683333;1,057333333;10097,4;0;0;0;1;0;8,931245766;0,055750015;9,220033244;11;8,952398315;8,909980497;8,863662905;9,206520084;9,201760671;9,195955403;9,194287207;9,183912204;9,174079833;0,061408628;0,08770558
1994Q1;7169,416667;1,005;10195,3;1;0;0;0;0;8,877579573;0,004987542;9,229682109;12;8,931245766;8,952398315;8,909980497;9,220033244;9,206520084;9,201760671;9,195955403;9,194287207;9,183912204;0,055750015;0,061408628
1994Q2;7576,933333;1,050666667;10333,5;0;1;0;0;0;8,932863823;0,049424883;9,243146324;13;8,877579573;8,931245766;8,952398315;9,229682109;9,220033244;9,206520084;9,201760671;9,195955403;9,194287207;0,004987542;0,055750015
1994Q3;7731,916667;1,135;10393,9;0;0;1;0;0;8,953112063;0,126632651;9,248974375;14;8,932863823;8,877579573;8,931245766;9,243146324;9,229682109;9,220033244;9,206520084;9,201760671;9,195955403;0,049424883;0,004987542
1994Q4;7782,816667;1,120666667;10513;0;0;0;1;0;8,959673591;0,113923746;9,260367866;15;8,953112063;8,932863823;8,877579573;9,248974375;9,243146324;9,229682109;9,220033244;9,206520084;9,201760671;0,126632651;0,049424883
1995Q1;7435,45;1,123;10550,3;1;0;0;0;0;8,914014382;0,116003676;9,263909575;16;8,959673591;8,953112063;8,932863823;9,260367866;9,248974375;9,243146324;9,229682109;9,220033244;9,206520084;0,113923746;0,126632651
1995Q2;7963,283333;1,207;10581,7;0;1;0;0;0;8,982596673;0,188137942;9,266881373;17;8,914014382;8,959673591;8,953112063;9,263909575;9,260367866;9,248974375;9,243146324;9,229682109;9,220033244;0,116003676;0,113923746
1995Q3;8049,083333;1,176333333;10671,7;0;0;1;0;0;8,993313492;0,162402256;9,275350657;18;8,982596673;8,914014382;8,959673591;9,266881373;9,263909575;9,260367866;9,248974375;9,243146324;9,229682109;0,188137942;0,116003676
1995Q4;7834,05;1,120333333;10744,2;0;0;0;1;0;8,966234897;0,11362626;9,282121353;19;8,993313492;8,982596673;8,914014382;9,275350657;9,266881373;9,263909575;9,260367866;9,248974375;9,243146324;0,162402256;0,188137942
1996Q1;7607,666667;1,152;10824,7;1;0;0;0;0;8,93691179;0,141499562;9,289585839;20;8,966234897;8,993313492;8,982596673;9,282121353;9,275350657;9,266881373;9,263909575;9,260367866;9,248974375;0,11362626;0,162402256
1996Q2;7870,633333;1,299666667;11005,2;0;1;0;0;0;8,970893813;0,262107821;9,306123167;21;8,93691179;8,966234897;8,993313492;9,289585839;9,282121353;9,275350657;9,266881373;9,263909575;9,260367866;0,141499562;0,11362626
1996Q3;7970,216667;1,256666667;11103,9;0;0;1;0;0;8,983466957;0,228462713;9,315051677;22;8,970893813;8,93691179;8,966234897;9,306123167;9,289585839;9,282121353;9,275350657;9,266881373;9,263909575;0,262107821;0,141499562
1996Q4;7868,55;1,269666667;11219,2;0;0;0;1;0;8,97062908;0,238754399;9,325381875;23;8,983466957;8,970893813;8,93691179;9,315051677;9,306123167;9,289585839;9,282121353;9,275350657;9,266881373;0,228462713;0,262107821
1997Q1;7515,333333;1,27;11291,7;1;0;0;0;0;8,924700657;0,2390169;9,331823222;24;8,97062908;8,983466957;8,970893813;9,325381875;9,315051677;9,306123167;9,289585839;9,282121353;9,275350657;0,238754399;0,228462713
1997Q2;8043,266667;1,243666667;11479,3;0;1;0;0;0;8,992590581;0,218064006;9,348300692;25;8,924700657;8,97062908;8,983466957;9,331823222;9,325381875;9,315051677;9,306123167;9,289585839;9,282121353;0,2390169;0,238754399
1997Q3;8316,933333;1,254666667;11622,9;0;0;1;0;0;9,026048876;0,226869933;9,360732569;26;8,992590581;8,924700657;8,97062908;9,348300692;9,331823222;9,325381875;9,315051677;9,306123167;9,289585839;0,218064006;0,2390169
1997Q4;8082,65;1,211666667;11722,7;0;0;0;1;0;8,997475068;0,191996822;9,369282412;27;9,026048876;8,992590581;8,924700657;9,360732569;9,348300692;9,331823222;9,325381875;9,315051677;9,306123167;0,226869933;0,218064006
1998Q1;7854,35;1,097333333;11839,9;1;0;0;0;0;8,968822797;0,092882994;9,379230462;28;8,997475068;9,026048876;8,992590581;9,369282412;9,360732569;9,348300692;9,331823222;9,325381875;9,315051677;0,191996822;0,226869933
1998Q2;8272,516667;1,095;11949,5;0;1;0;0;0;9,020694055;0,090754363;9,388444715;29;8,968822797;8,997475068;9,026048876;9,379230462;9,369282412;9,360732569;9,348300692;9,331823222;9,325381875;0,092882994;0,191996822
1998Q3;8512,333333;1,069333333;12099,2;0;0;1;0;0;9,049271371;0,067035401;9,400894614;30;9,020694055;8,968822797;8,997475068;9,388444715;9,379230462;9,369282412;9,360732569;9,348300692;9,331823222;0,090754363;0,092882994
1998Q4;8242,283333;1,027333333;12294,7;0;0;0;1;0;9,017032688;0,026966448;9,416923554;31;9,049271371;9,020694055;8,968822797;9,400894614;9,388444715;9,379230462;9,369282412;9,360732569;9,348300692;0,067035401;0,090754363
